,y_lo,y_hi,h_lo,h_hi
0,12.0,12.1,10.0,11.0
1,12.0,12.1,11.0,12.0
2,12.0,12.1,12.0,13.0
3,12.0,12.1,13.0,14.0
4,12.0,12.1,14.0,15.0
5,12.0,12.1,15.0,16.0
6,12.0,12.1,16.0,17.0
7,12.0,12.1,17.0,18.0
8,12.0,12.1,18.0,19.0
9,12.0,12.1,19.0,20.0
10,12.0,12.1,20.0,21.0
11,12.0,12.1,21.0,22.0
12,12.0,12.1,22.0,23.0
13,12.0,12.1,23.0,24.0
14,12.0,12.1,24.0,25.0
15,12.0,12.1,25.0,26.0
16,12.0,12.1,26.0,27.0
17,12.0,12.1,27.0,28.0
18,12.0,12.1,28.0,29.0
19,12.0,12.1,29.0,30.0
20,12.1,12.2,10.0,11.0
21,12.1,12.2,11.0,12.0
22,12.1,12.2,12.0,13.0
23,12.1,12.2,13.0,14.0
24,12.1,12.2,14.0,15.0
25,12.1,12.2,15.0,16.0
26,12.1,12.2,16.0,17.0
27,12.1,12.2,17.0,18.0
28,12.1,12.2,18.0,19.0
29,12.1,12.2,19.0,20.0
30,12.1,12.2,20.0,21.0
31,12.1,12.2,21.0,22.0
32,12.1,12.2,22.0,23.0
33,12.1,12.2,23.0,24.0
34,12.1,12.2,24.0,25.0
35,12.1,12.2,25.0,26.0
36,12.1,12.2,26.0,27.0
37,12.1,12.2,27.0,28.0
38,12.1,12.2,28.0,29.0
39,12.1,12.2,29.0,30.0
40,12.2,12.3,10.0,11.0
41,12.2,12.3,11.0,12.0
42,12.2,12.3,12.0,13.0
43,12.2,12.3,13.0,14.0
44,12.2,12.3,14.0,15.0
45,12.2,12.3,15.0,16.0
46,12.2,12.3,16.0,17.0
47,12.2,12.3,17.0,18.0
48,12.2,12.3,18.0,19.0
49,12.2,12.3,19.0,20.0
50,12.2,12.3,20.0,21.0
51,12.2,12.3,21.0,22.0
52,12.2,12.3,22.0,23.0
53,12.2,12.3,23.0,24.0
54,12.2,12.3,24.0,25.0
55,12.2,12.3,25.0,26.0
56,12.2,12.3,26.0,27.0
57,12.2,12.3,27.0,28.0
58,12.2,12.3,28.0,29.0
59,12.2,12.3,29.0,30.0
60,12.3,12.4,10.0,11.0
61,12.3,12.4,11.0,12.0
62,12.3,12.4,12.0,13.0
63,12.3,12.4,13.0,14.0
64,12.3,12.4,14.0,15.0
65,12.3,12.4,15.0,16.0
66,12.3,12.4,16.0,17.0
67,12.3,12.4,17.0,18.0
68,12.3,12.4,18.0,19.0
69,12.3,12.4,19.0,20.0
70,12.3,12.4,20.0,21.0
71,12.3,12.4,21.0,22.0
72,12.3,12.4,22.0,23.0
73,12.3,12.4,23.0,24.0
74,12.3,12.4,24.0,25.0
75,12.3,12.4,25.0,26.0
76,12.3,12.4,26.0,27.0
77,12.3,12.4,27.0,28.0
78,12.3,12.4,28.0,29.0
79,12.3,12.4,29.0,30.0
80,12.4,12.5,10.0,11.0
81,12.4,12.5,11.0,12.0
82,12.4,12.5,12.0,13.0
83,12.4,12.5,13.0,14.0
84,12.4,12.5,14.0,15.0
